GSSCode,diversity2011
E01000611,1.476
E01000612,1.465
E01000613,1.376
E01000615,1.441
E01000616,1.471
E01000617,1.45
E01000618,1.488
E01000619,1.424
E01000620,1.449
E01000621,1.401
E01000622,1.294
E01000623,1.361
E01000624,1.399
E01000625,1.329
E01000626,1.315
E01000627,1.304
E01000628,1.409
E01000629,1.452
E01000630,1.4
E01000631,1.378
E01000632,1.413
E01000633,1.388
E01000634,1.338
E01000636,1.419
E01000637,1.503
E01000638,1.426
E01000639,1.466
E01000640,1.521
E01000641,1.52
E01000642,1.531
E01000643,1.518
E01000644,1.405
E01000645,1.338
E01000646,1.181
E01000647,1.057
E01000648,1.05
E01000649,1.3
E01000650,1.362
E01000651,1.287
E01000652,1.486
E01000653,1.524
E01000654,1.447
E01000655,1.534
E01000656,1.526
E01000657,1.455
E01000658,1.532
E01000659,1.503
E01000661,0.848
E01000662,0.954
E01000663,0.82
E01000664,0.926
E01000665,1.008
E01000666,0.992
E01000667,0.731
E01000668,0.715
E01000669,0.858
E01000670,0.419
E01000671,0.401
E01000672,0.512
E01000673,0.443
E01000674,0.199
E01000676,0.309
E01000677,1.091
E01000678,0.974
E01000679,0.845
E01000680,0.853
E01000681,0.79
E01000682,0.484
E01000683,0.731
E01000684,0.872
E01000685,0.705
E01000686,1.147
E01000687,0.977
E01000688,0.999
E01000689,0.965
E01000690,1.025
E01000691,1.158
E01000692,1.143
E01000693,1.011
E01000694,0.965
E01000695,0.857
E01000696,0.427
E01000697,0.686
E01000698,0.588
E01000699,0.926
E01000700,0.941
E01000701,0.595
E01000702,0.6
E01000703,0.524
E01000704,0.627
E01000705,0.921
E01000706,0.827
E01000707,0.785
E01000708,0.585
E01000709,0.973
E01000710,0.821
E01000711,0.517
E01000712,0.654
E01000713,0.684
E01000714,0.994
E01000715,1.32
E01000716,0.989
E01000717,1.184
E01000718,1.031
E01000719,0.872
E01000720,1.17
E01000721,1.348
E01000722,1.036
E01000723,0.658
E01000724,0.87
E01000725,0.905
E01000726,1.004
E01000727,0.965
E01000728,1.013
E01000729,0.983
E01000730,0.968
E01000731,0.841
E01000732,0.835
E01000733,0.85
E01000734,1.287
E01000735,0.991
E01000736,1.047
E01000737,1.098
E01000738,0.784
E01000739,0.415
E01000741,1.093
E01000742,0.698
E01000743,0.697
E01000744,0.677
E01000745,0.865
E01000746,0.971
E01000747,0.922
E01000748,0.928
E01000749,0.795
E01000750,0.746
E01000751,0.793
E01000752,0.834
