GSSCode,diversity2011
E01000434,0.634
E01000356,0.574
E01000357,0.6
E01000359,0.587
E01000421,0.5
E01000450,0.672
E01000451,0.621
E01000452,0.7
E01000367,0.66
E01000368,0.623
E01000372,0.762
E01000380,0.395
E01000435,0.706
E01000353,0.43
E01000354,0.584
E01000355,0.43
E01000358,0.455
E01000436,0.49
E01000401,0.664
E01000453,0.588
E01000454,0.643
E01000455,0.683
E01000456,0.594
E01000325,0.314
E01000326,0.449
E01000369,0.477
E01000370,0.473
E01000371,0.391
E01000360,0.575
E01000362,0.485
E01000365,0.496
E01000366,0.603
E01000394,0.538
E01000388,0.641
E01000392,0.845
E01000409,0.382
E01000411,0.574
E01000414,0.882
E01000415,0.658
E01000327,0.399
E01000328,0.355
E01000329,0.435
E01000330,0.459
E01000331,0.578
E01000340,0.368
E01000395,0.513
E01000396,0.595
E01000410,0.49
E01000412,0.571
E01000413,0.534
E01000374,0.64
E01000375,0.49
E01000376,0.53
E01000377,0.343
E01000378,0.524
E01000379,0.467
E01000348,0.38
E01000349,0.457
E01000361,0.418
E01000363,0.592
E01000389,0.512
E01000390,0.668
E01000393,0.607
E01000346,0.38
E01000347,0.473
E01000350,0.379
E01000352,0.502
E01000391,0.48
E01000341,0.321
E01000342,0.315
E01000343,0.331
E01000345,0.383
E01000460,0.379
E01000364,0.566
E01000444,0.522
E01000447,0.398
E01000448,0.295
E01000449,0.344
E01000351,0.387
E01000443,0.324
E01000445,0.381
E01000446,0.296
E01000461,0.456
E01000339,0.358
E01000344,0.337
E01000423,0.385
E01000425,0.319
E01000463,0.411
E01000424,0.359
E01000426,0.384
E01000427,0.387
E01000457,0.522
E01000462,0.455
E01000382,0.435
E01000384,0.332
E01000387,0.428
E01000428,0.647
E01000458,0.399
E01000459,0.43
E01000381,0.379
E01000383,0.38
E01000385,0.584
E01000386,0.748
E01000398,0.593
E01000399,0.671
E01000400,0.705
E01032566,0.701
E01000907,0.928
E01000908,0.964
E01000909,0.653
E01000912,0.831
E01000913,0.498
E01000893,0.508
E01000894,0.622
E01000895,0.757
