GSSCode,year,diversity
E01000410,2021,0.822
E01000413,2011,1.363
E01000413,2021,0.754
E01000375,2011,1.315
E01000375,2021,0.951
E01000377,2011,1.395
E01000377,2021,0.617
E01033791,2011,1.192
E01033791,2021,0.911
E01000348,2011,1.302
E01000348,2021,0.582
E01000361,2011,1.291
E01000361,2021,0.681
E01000389,2011,0.928
E01000389,2021,0.936
E01000393,2011,1.352
E01000393,2021,0.994
E01000347,2011,1.37
E01000347,2021,0.596
E01000352,2011,1.316
E01000352,2021,0.774
E01000341,2011,1.302
E01000341,2021,0.602
E01000343,2011,1.354
E01000343,2021,0.585
E01000460,2011,1.164
E01000460,2021,0.569
E01000444,2011,0.983
E01000444,2021,0.592
E01000448,2011,1.196
E01000448,2021,0.512
E01000351,2011,1.222
E01000351,2021,0.575
E01000445,2011,1.215
E01000445,2021,0.522
E01000461,2011,1.088
E01000461,2021,0.658
E01000344,2011,1.178
E01000344,2021,0.453
E01000425,2011,1.169
E01000425,2021,0.514
E01000424,2011,1.082
E01000424,2021,0.547
E01000427,2011,0.702
E01000427,2021,0.498
E01000462,2011,1.299
E01000462,2021,0.707
E01000384,2011,1.211
E01000384,2021,0.614
E01000428,2011,1.358
E01000428,2021,0.847
E01000459,2011,1.324
E01000459,2021,0.695
E01000383,2011,1.27
E01000383,2021,0.562
E01000386,2011,1.409
E01000386,2021,0.996
E01000399,2011,0.938
E01000399,2021,0.957
E01032566,2011,1.079
E01032566,2021,1.032
E01000780,2011,1.226
E01000780,2021,1.026
E01000782,2011,1.254
E01000782,2021,1.034
E01000785,2011,1.243
E01000785,2021,0.86
E01000690,2011,1.418
E01000690,2021,0.723
E01000692,2011,1.369
E01000692,2021,0.49
E01000799,2011,0.723
E01000799,2021,1.165
E01000803,2011,0.699
E01000803,2021,0.948
E01000805,2011,0.698
E01000805,2021,0.972
E01000742,2011,0.612
E01000742,2021,1.048
E01000746,2011,0.508
E01000746,2021,0.95
E01034384,2011,0.518
E01034384,2021,1.141
E01000710,2011,1.004
E01000710,2021,0.983
E01000714,2011,0.861
E01000714,2021,0.899
E01000645,2011,1.182
E01000645,2021,0.823
E01000694,2011,1.011
E01000694,2021,0.793
E01000696,2011,0.937
E01000696,2021,0.563
E01000674,2011,0.684
E01000674,2021,0.933
E01000820,2011,0.653
E01000820,2021,0.94
E01000823,2011,0.536
E01000823,2021,0.758
E01000825,2011,0.529
E01000825,2021,0.763
E01000744,2011,0.394
E01000744,2021,1.211
E01000798,2011,0.702
E01000798,2021,1.186
E01000806,2011,0.625
E01000806,2021,1.175
E01000698,2011,0.493
E01000698,2021,1.012
E01000737,2011,0.635
E01000737,2021,0.781
E01000673,2011,1.063
E01000673,2021,0.792
E01000717,2011,1.107
E01000717,2021,0.845
E01000712,2011,1.143
E01000712,2021,0.836
E01000715,2011,0.671
E01000715,2021,0.778
E01000772,2011,0.566
E01000772,2021,0.699
