GSSCode,GSSCode,diversity2011,diversity2021,,GSSCode,diversity2011
E01001878,E01000311,1.506,0.745,,E01001878,1.506
E01001955,E01000205,1.508,1.009,,E01001955,1.508
E01001957,E01000209,1.503,0.717,,E01001957,1.503
E01001958,E01000211,1.502,1.282,,E01001958,1.502
E01001961,E01000212,1.509,0.968,,E01001961,1.509
E01001954,E01000216,1.425,1.012,,E01001954,1.425
E01001956,E01000217,1.379,0.795,,E01001956,1.379
E01001959,E01000150,1.537,1.369,,E01001959,1.537
E01001960,E01000305,1.366,1.312,,E01001960,1.366
E01001943,E01000306,1.446,1.15,,E01001943,1.446
E01001944,E01000308,1.491,1.396,,E01001944,1.491
E01001945,E01000312,1.335,1.274,,E01001945,1.335
E01001946,E01000313,1.384,1.3,,E01001946,1.384
E01001862,E01000145,1.469,1.06,,E01001862,1.469
E01001940,E01000215,1.475,0.985,,E01001940,1.475
E01001941,E01000218,1.387,0.889,,E01001941,1.387
E01001942,E01000219,1.41,1.033,,E01001942,1.41
E01001858,E01000220,1.401,0.948,,E01001858,1.401
E01001860,E01000225,1.499,0.787,,E01001860,1.499
E01001861,E01000135,1.464,1.118,,E01001861,1.464
E01001863,E01000136,1.206,1.099,,E01001863,1.206
E01001864,E01000144,1.305,1.21,,E01001864,1.305
E01001852,E01000146,1.258,1.124,,E01001852,1.258
E01001853,E01000214,1.124,0.99,,E01001853,1.124
E01001854,E01000141,1.298,1.369,,E01001854,1.298
E01001857,E01000221,1.494,1.53,,E01001857,1.494
E01001859,E01000223,1.455,1.42,,E01001859,1.455
E01001865,E01000307,1.286,1.367,,E01001865,1.286
E01001927,E01000138,0.95,1.307,,E01001927,0.95
E01001930,E01000142,1.3,1.334,,E01001930,1.3
E01001895,E01000222,1.329,1.425,,E01001895,1.329
E01001896,E01000224,1.418,1.439,,E01001896,1.418
E01001897,E01000137,1.146,1.442,,E01001897,1.146
E01001929,E01000139,0.902,1.083,,E01001929,0.902
