GSSCode,diversity2011
E01002721,1.117
E01002775,1.174
E01002776,1.333
E01002780,1.323
E01002708,1.362
E01002712,1.379
E01002713,1.295
E01002765,1.481
E01002766,1.464
E01002717,1.190
E01002719,1.021
E01002720,1.463
E01002790,1.301
E01002791,0.982
E01002793,1.257
E01002698,1.170
E01002699,0.955
E01002700,0.810
E01002714,0.998
E01002792,1.148
E01002722,1.237
E01002797,1.357
E01002798,1.026
E01002799,1.316
E01002800,1.428
E01002694,1.481
E01002697,1.511
E01002709,1.402
E01002710,1.440
E01002715,1.478
E01002696,0.987
E01002794,1.140
E01002801,1.036
E01002802,0.992
E01002803,1.225
E01002695,1.321
E01002711,1.406
E01002727,1.158
E01002728,1.438
E01002729,1.094
E01002707,1.290
E01002723,1.335
E01002724,1.167
E01002725,1.383
E01002726,1.286
E01033489,1.219
E01033490,1.396
E01002701,1.363
E01002702,1.444
E01002703,1.424
E01002704,1.378
E01002706,1.333
E01002852,1.560
E01002853,1.521
E01002854,1.531
E01002855,1.549
E01002857,1.569
E01002904,1.555
E01002905,1.489
E01002906,1.418
E01002907,1.534
E01002876,1.120
E01002877,1.537
E01002878,1.366
E01002908,1.266
E01002909,1.250
E01002829,1.397
E01002830,1.440
E01002831,1.420
E01002832,1.433
E01002856,1.385
E01002870,1.440
E01002872,1.370
E01002879,1.538
E01002880,1.567
E01002881,1.455
E01002882,1.041
E01002883,1.124
E01002884,1.252
E01002885,1.199
E01002886,1.052
E01002833,1.059
E01002871,0.968
E01002873,1.142
E01002874,1.229
E01002875,1.069
E01002824,1.078
E01002825,1.278
E01002826,1.105
E01002827,0.991
E01002828,1.050
E01002864,1.326
E01002866,1.380
E01002867,1.480
E01002868,1.100
E01002869,1.332
E01002887,1.208
E01002889,1.226
E01002890,1.077
E01002891,1.287
E01002892,1.322
E01002813,1.088
E01002815,1.355
E01002816,1.149
E01002817,1.183
E01002865,1.247
E01002818,1.275
E01002819,1.099
E01002859,0.991
E01002860,0.880
E01002863,1.060
E01002812,1.370
E01002834,1.236
E01002839,1.401
E01002850,1.427
E01002888,1.318
E01002821,1.169
E01002823,1.292
E01002858,1.467
E01002861,1.022
E01002862,1.387
E01002814,1.518
E01002847,1.260
E01002848,1.399
E01002851,1.491
E01002820,1.187
E01002822,0.929
E01002835,1.175
E01002836,1.121
E01002837,0.911
E01002846,1.383
E01002849,1.263
E01002893,1.160
E01002894,1.166
E01002898,1.028
E01002899,1.113
E01002900,0.881
E01002901,0.773
E01002902,1.059
E01002903,0.778
E01002844,1.022
E01002845,1.160
E01002910,1.045
E01002911,0.888
E01002914,0.867
E01002838,1.083
E01002895,0.737
E01002896,0.985
E01002897,1.094
E01002912,1.059
E01002840,1.411
E01002841,1.244
E01002842,1.562
E01002843,1.494
E01002913,1.282
E01003015,1.470
E01003108,1.433
E01003110,1.249
E01003111,1.433
E01003112,1.454
E01003101,1.404
E01003105,1.456
E01003106,1.332
E01003107,1.283
E01003109,1.465
E01003102,1.319
E01003104,1.374
E01003122,1.410
E01003129,1.365
E01033207,1.361
E01033208,1.475
E01003098,1.330
E01003099,1.418
E01003100,1.158
E01003180,1.426
E01003183,1.428
E01003097,1.430
E01003121,1.393
E01003123,1.161
E01003124,1.389
E01003125,1.462
E01003181,1.459
E01003184,1.382
E01003185,1.406
E01003186,1.350
E01003187,1.367
E01003089,1.466
E01003091,1.441
E01003092,1.427
E01003126,1.398
E01003128,1.404
E01003046,1.322
E01003048,1.332
E01003075,1.415
E01003182,1.424
E01003188,1.399
E01003088,1.405
E01003093,1.439
E01003094,1.354
E01003096,1.246
E01003127,1.337
E01003045,1.387
E01003047,1.450
E01003049,1.416
E01003059,1.443
E01003060,1.409
E01003061,1.473
E01003034,1.261
E01003035,1.201
E01003036,1.274
E01003090,1.299
E01003095,1.221
E01003037,1.392
E01003038,0.955
E01003039,1.047
E01003040,1.184
E01003042,1.228
E01003072,1.106
E01003073,1.396
E01003076,1.474
E01003077,1.440
E01003078,1.236
E01003019,1.277
E01003053,1.233
E01003054,1.067
E01003056,1.319
E01003058,1.293
E01003020,1.369
E01003050,1.362
E01003052,1.364
E01003055,1.352
E01003176,1.421
E01003029,1.164
E01003032,1.362
E01003041,1.417
E01003057,1.395
E01003043,1.350
E01003044,1.258
E01003051,1.431
E01003071,1.279
E01003074,1.342
E01003026,0.966
E01003027,0.779
E01003028,1.102
E01003030,0.970
E01003033,1.183
E01003018,1.236
E01003171,1.370
E01003173,1.380
E01003177,1.395
E01003178,1.281
E01003021,1.394
E01003022,1.345
E01003023,1.388
E01003024,1.419
E01003025,1.434
E01003136,1.367
E01003137,1.492
E01003159,1.429
E01003160,1.419
E01003162,1.414
E01003031,1.349
E01003156,1.195
E01003157,1.218
E01003158,0.808
E01003161,1.342
E01003163,1.384
E01003132,1.408
E01003172,1.418
E01003174,1.371
E01003175,1.401
E01003179,1.406
E01003164,1.429
E01003165,1.368
E01003168,1.355
